Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,32665,33531,34388,35258,36192,37209,38336,39550,40747,41789,42478,42539,42343,41972,41565,41227,40968,40793,40662,40552,40446,40349,40294,40243,40197,40147,40077,40001,39980,40091,40380,40891,41844,42946,44128,45350,46604,47885,49163,50412,51588,52705,53949,55150,56374,57660,59054,60499,61992,63480,64933,66310,67330,68312,69260,70178,71036,71843,72598,73316,74001
Australia,AUS,1898168,1893125,1909068,1915045,1921617,1928216,1941057,1946009,1960830,1982191,2001245,2049221,2066154,2076844,2108402,2112847,2112387,2114608,2117518,2118609,2122700,2134561,2175007,2206835,2236626,2271988,2314338,2354687,2398326,2444309,2485873,2522945,2574389,2622313,2673251,2729233,2789315,2844952,2899644,2958134,3019470,3086667,3100598,3115023,3127194,3144470,3166779,3161213,3199492,3240089,3264665,3283984,3318631,3353116,3380029,3405449,3435109,3467878,3494578,3519751,3535137
Austria,AUT,2486372,2493385,2505220,2517777,2531075,2544011,2558257,2573835,2583601,2588892,2594215,2602592,2617008,2630789,2634510,2626772,2621379,2621628,2618751,2613535,2612783,2621498,2643375,2659070,2679016,2700321,2722325,2744348,2768641,2801639,2843876,2893427,2946774,2992756,3026042,3052457,3078548,3103950,3129454,3157687,3187562,3222225,3260666,3299328,3342824,3388796,3428840,3463449,3497858,3530644,3562894,3598756,3612504,3617832,3629979,3654565,3677700,3686708,3686762,3683835,3678385
Azerbaijan,AZE,1843965,1919886,1999616,2081445,2163100,2242843,2319970,2394617,2467073,2537842,2589602,2617845,2643250,2666371,2694803,2729426,2763452,2797069,2830492,2866093,2904562,2943613,2983148,3023503,3062456,3100031,3138710,3178242,3218023,3274301,3318602,3385445,3459819,3535747,3607222,3672897,3734314,3794654,3855372,3896779,3912746,3926875,3939942,3953356,3971421,3995444,4022610,4051232,4119674,4188204,4218775,4252916,4286937,4318074,4345898,4369801,4388966,4400516,4405307,4407577,4400904
Burundi,BDI,2739812,2792109,2844696,2899406,2958715,3023393,3094563,3171852,3249803,3320846,3380090,3425159,3458960,3488458,3523288,3570423,3632177,3706512,3791096,3881978,3976911,4074399,4175019,4279413,4388516,4502791,4622030,4744618,4867368,4986151,5097882,5205707,5308218,5402453,5485211,5555318,5610935,5655746,5701234,5763505,5852869,5973420,6122066,6293693,6479923,6674402,6876203,7086696,7303905,7526320,7752348,7980596,8210996,8444885,8685036,8932905,9188748,9451330,9719004,9989400,10260793
Belgium,BEL,690173,683837,675039,665612,657593,649491,639888,629663,618582,607025,594492,582711,572373,561805,551360,540999,530184,510589,491485,473116,455398,440204,430030,420141,410476,401233,392205,383459,375867,368490,361118,354059,347362,340654,333815,326709,319832,313175,306498,300145,294313,289464,285082,280571,276160,272130,268551,265111,261859,258792,255937,254101,250572,246734,242900,239464,235807,231939,228427,225069,221765
Benin,BEN,2206085,2222829,2240844,2260148,2280792,2302816,2326102,2350478,2375558,2400937,2426240,2451299,2475999,2500628,2525228,2549965,2574676,2599358,2623498,2653243,2700926,2750109,2800776,2852844,2906198,2960895,3016336,3072821,3131506,3194227,3261657,3334453,3421579,3526417,3631555,3734789,3835064,3933251,4031046,4130744,4234023,4341573,4447568,4547229,4646979,4745990,4843941,4941148,5038210,5136054,5235019,5335151,5436221,5538343,5640685,5743276,5846022,5948778,6051235,6153002,6253752
Burkina Faso,BFA,4602312,4659836,4717619,4776772,4839103,4905884,4977615,5053914,5134087,5216825,5301403,5387931,5476829,5568733,5664233,5763924,5855680,5941345,6030037,6123379,6222086,6326605,6435919,6548385,6661833,6774748,6913023,7076009,7243586,7416137,7593789,7776739,7964834,8158481,8357840,8563180,8774607,8972396,9157786,9345908,9536628,9730062,9925692,10124205,10325819,10531253,10739874,10974632,11232645,11495273,11761179,12029916,12301337,12574793,12849408,13124763,13400386,13676524,13952831,14229032,14505412
Bangladesh,BGD,45548012,46757464,47961797,49212399,50536565,51945145,53461266,55059474,56648678,58106649,59355313,60353981,61148407,61852502,62532050,63174588,63984864,64919777,65921448,66906786,67812236,68847431,70325055,71816132,73332669,74884079,76468807,78072449,79669386,81231057,82732561,84207910,85728266,87214526,88692991,90186119,91691647,93198942,94689053,96143151,97543372,98742534,99681804,100515443,101213793,101761476,102143880,102377369,102502134,102571998,102621005,102662598,102694469,102713719,102699980,102647880,102554027,102425423,102261195,102058752,101815917
Bulgaria,BGR,4948578,4862618,4768184,4666744,4561889,4450351,4357529,4279849,4204219,4129877,4049527,3981375,3909118,3838830,3773605,3700908,3632541,3572033,3496879,3423053,3358522,3325011,3290185,3253796,3216973,3172930,3135449,3108935,3081354,3015064,2931350,2873111,2813472,2767905,2739354,2708267,2675519,2640661,2604686,2571814,2541005,2469539,2388453,2342006,2297078,2252963,2209465,2167172,2126239,2087198,2048433,2010650,1974416,1938841,1903435,1866995,1829783,1792408,1755697,1719734,1685936
