Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,DNK,1205031,1179808,1157609,1135659,1113984,1092288,1073702,1055896,1036317,1016431,998714,980763,961831,943557,924147,903388,882632,870832,859096,846933,833875,823805,817570,811434,805438,800242,795833,791356,786304,781335,779212,779794,780980,782186,783426,786105,789145,791005,792450,793693,795603,795779,792950,789180,780089,766524,755890,748599,742353,737112,732572,726570,718964,713546,710514,708958,707867,705807,702536,698080,693004
Dominican Republic,DOM,2299663,2346520,2391687,2435642,2477973,2518533,2556950,2593183,2626988,2658555,2687504,2713808,2737388,2758401,2776556,2792043,2804703,2814710,2821815,2825975,2827094,2825427,2848818,2893814,2938190,2982078,3025369,3068040,3110236,3152194,3193949,3235552,3276931,3317653,3323050,3315514,3305090,3292294,3276981,3259472,3240025,3218886,3195871,3132570,3051042,2968437,2884525,2799789,2714469,2629580,2544677,2470282,2403083,2336313,2269885,2203774,2138191,2073501,2011294,1951483,1894044
Algeria,DZA,7684110,7731721,7760418,7783585,7804639,7826352,7891246,8097231,8311693,8530685,8751320,8973174,9197429,9426370,9663088,9909818,10166563,10386570,10536605,10691717,10852164,11018344,11187123,11355130,11517503,11671562,11814560,11953236,12096830,12227218,12342364,12442277,12525739,12591018,12634411,12654289,12650701,12627680,12586452,12519461,12442039,12356670,12263899,12168750,12076154,11990254,11911271,11839541,11774717,11721662,11678281,11645139,11620785,11603755,11591085,11581512,11573775,11567446,11558339,11542954,11518353
East Asia & Pacific (excluding high income),EAP,743471974,738916412,744507021,759189318,773278267,793351261,816054000,837634951,859849437,883328424,907464406,932058568,954970995,976028440,994820032,1013629471,1029470046,1043886443,1055103976,1063119899,1070144823,1077100737,1085439034,1094944253,1103080596,1111310469,1120211622,1129708371,1138875955,1146990395,1154085884,1159016568,1162064394,1163943618,1165110943,1165390170,1164785738,1163498540,1161123342,1157425767,1152284795,1144183151,1133764195,1122361395,1110165223,1097496798,1084724967,1071589665,1058003488,1044057220,1029764595,1016968668,1005362750,993519240,981160740,968213691,954920697,941637400,927657421,913264115,898430783
Early-demographic dividend,EAR,755521108,770416694,785436175,800839321,816619172,832779854,849294009,866186846,883406845,900928890,918731450,936595923,954004553,971602782,989344254,1009199577,1027351370,1045680962,1064255241,1083375212,1102884559,1122937991,1144731645,1166900206,1189111638,1211188012,1233152767,1255206666,1277027168,1298412833,1320096150,1341457819,1362570957,1383367211,1403895806,1424381686,1444940979,1465468403,1485734614,1505606087,1524907615,1543796444,1561191065,1578152974,1594747188,1610990135,1626927084,1642568358,1657709535,1672375744,1686619025,1700680087,1714025715,1726813771,1739077250,1750635375,1761754125,1772356126,1782399464,1791865989,1800695994
East Asia & Pacific,EAS,806243576,801651393,807191039,821814490,835811040,855781254,878358740,899454760,921245377,944389200,968136429,992590156,1015067622,1035640149,1053913215,1072041648,1087501040,1101646501,1112532298,1120195960,1126830192,1133330256,1141200956,1150190816,1157731377,1165316373,1173345585,1181817889,1190019223,1197216589,1203406482,1207836686,1210604305,1212197325,1213076341,1213054421,1212307235,1210959569,1208526620,1204728342,1199492091,1189702238,1177059342,1163546812,1149310927,1134720051,1120399883,1105876262,1091048001,1075918846,1060510964,1047369292,1035676882,1023748248,1011313804,998293577,984917594,971529077,957432170,942902403,927880083
Europe & Central Asia (excluding high income),ECA,150631526,150890855,151096003,151249094,151335386,151283785,150898654,150538747,150083945,149552229,149014712,148552041,148113641,147633322,147137357,146699382,146355587,145976368,145532608,145293910,145343199,145026529,144477392,143869856,143283439,142709686,142268461,141881207,141409984,141258595,141344987,141494233,141742175,141997612,141983797,141757810,141598044,141444781,141290796,141043503,140753228,140194901,139502384,138869740,138278788,137687234,137134753,136595911,136224312,136028458,136016904,136127242,136270850,136494429,136702509,136899465,137031399,137072780,136996849,136850484,136533534
Europe & Central Asia,ECS,295851279,295673936,295530396,295157174,294678042,293960531,292782568,291551688,290284811,289110429,287730775,286407280,285301249,284170793,282983371,281937007,281005695,279928325,278758312,277853401,277315744,276490952,275729850,274988940,274366656,273820778,273334725,272666858,271976422,271880439,272003931,272124422,272320171,272472796,272195288,271635037,271117812,270606327,270077472,269473582,268687540,267670082,266416654,265300552,264257663,263202201,262155816,261216220,260448355,259707863,259004677,258090652,257579926,257266490,256968557,256583671,256103440,255433544,254610649,253541124,252301468
Ecuador,ECU,3004358,3063174,3123091,3186853,3253848,3322586,3392889,3464667,3537477,3611267,3685446,3760135,3834995,3909900,3982839,4031323,4077204,4120776,4161880,4200753,4237380,4271958,4304097,4341793,4382997,4422897,4461041,4497507,4531855,4564486,4594711,4638364,4690879,4741928,4790971,4837991,4882913,4925793,4965867,5002226,5034533,5062676,5110442,5171926,5232707,5293775,5355639,5417822,5479974,5541143,5600647,5662951,5727274,5792131,5860544,5933924,6013650,6098120,6180950,6256949,6322214
"Egypt, Arab Rep.",EGY,16548613,16892632,17254179,17618184,17985249,18355374,18729438,19105998,19479867,19845412,20198541,20538110,20867343,21192272,21521546,21860828,22212344,22661196,23186227,23736543,24314574,24920007,25552098,26211764,26899856,27615427,28360599,29179300,30040278,30894789,31728330,32533880,33315709,34084668,34857600,35646336,36455819,37210525,37930100,38652676,39373718,40097157,40825823,41558215,42292174,43028047,43761874,44531290,45346377,46215187,47158184,48181673,49307345,50485245,51687644,52891004,54087949,55256782,56392787,57492251,58552675
Euro area,EMU,100538024,100180420,99791926,99215566,98600853,97956101,97230581,96393008,95630141,95073455,94414752,93809035,93471340,93153524,92800136,92530747,92285115,91929727,91570824,91218804,90886983,90511823,90286263,90135360,90077538,90086534,90037145,89766915,89576086,89626560,89581316,89487459,89435631,89284086,88966847,88632130,88302202,87959451,87596729,87258649,86939738,86612989,86247231,85899021,85568129,85210812,84822684,84503086,84159853,83669555,83090938,82147549,81607036,81191581,80797367,80325459,79832862,79263240,78678852,77933878,77236174
Eritrea,ERI,908853,928810,949795,971567,993869,1016537,1039438,1062647,1089068,1116390,1144745,1174189,1204683,1236199,1268676,1302038,1336153,1371071,1407083,1444628,1483983,1524511,1565801,1608107,1650812,1688181,1727187,1766568,1801115,1824206,1831651,1822377,1799437,1768183,1735815,1707967,1684844,1666414,1656969,1661614,1682929,1722741,1777902,1840344,1899406,1947592,1982894,2007172,2021436,2040896,2055236,2064300,,,,,,,,,
Spain,ESP,13227520,13124738,12934262,12735859,12549483,12373341,12186583,12022749,11865098,11668253,11484091,11346103,11232265,11118088,11000753,10881129,10757865,10631094,10496542,10353322,10201721,10089484,10060595,10020407,9972794,9920133,9860687,9797703,9730502,9658018,9580406,9535852,9550559,9567936,9581167,9590975,9598296,9606162,9613419,9619750,9630000,9663982,9722744,9796815,9862593,9925418,9988509,10067486,10120932,10102486,10041047,9968815,9868179,9728205,9590865,9473817,9371187,9281373,9209330,9160656,9089040
Estonia,EST,514503,510808,508171,505607,503223,500376,495998,490134,484868,480160,476747,475284,473219,470361,467017,463267,459138,455120,450848,447886,447435,447430,447486,447388,447111,446909,447040,447304,446860,448250,451436,452063,446743,438168,431632,426680,423107,420938,419548,423427,427924,426956,425998,425074,424271,423570,422804,422596,423176,424069,424820,425245,423607,420151,417118,415458,413645,412117,411399,410648,409094
Ethiopia,ETH,20726292,21163559,21625147,22107778,22605782,23115850,23630782,24151444,24718780,25323803,25974793,26687638,27449828,28211712,28904938,29486031,29933272,30276597,30587172,30965221,31483452,32166572,32994950,33939356,34951819,35996256,37064522,38169159,39322338,40543796,41843937,43226660,44678873,46169940,47661479,49159892,50636304,52086904,53525989,54979170,56463272,57985265,59538009,61121265,62729415,64359939,66010206,67672866,69226765,70820867,72461597,74153612,75887762,77667882,79458316,81245141,83021597,84790101,86546146,88290017,90022234
European Union,EUU,147482016,146816701,146174380,145361290,144520282,143571368,142579596,141631015,140712404,139938084,138983630,137999452,137319692,136665733,136003815,135474690,134975601,134318663,133577707,132850932,132191037,131620731,131243295,130914823,130666149,130469075,130206394,129719421,129284258,129077666,128796851,128378376,128090427,127956844,127678860,127320246,126929964,126544762,126150575,125772747,125253571,124617190,123919998,123399625,122915398,122398829,121849700,121296148,120724016,120090967,119335941,118260977,117601611,117080051,116581493,115989541,115358721,114636386,113888731,112974045,112053072
Fragile and conflict affected situations,FCS,170046878,173070254,176210550,179437940,182758882,186137086,189623029,193197319,196887078,200671712,204535822,208373273,212344369,216464863,220873986,225434395,230149754,235038245,240040097,245109419,250129135,254877349,259597829,264186006,268636029,273125429,277658014,282248667,287124686,292488604,298903130,305717814,312999914,320662422,328516400,336115570,343370869,350346441,357211960,364202734,371506773,378744007,386342370,394190653,402212858,410266293,418324337,426806506,434717158,442686118,450654228,458995446,467539571,476106801,484605551,492688361,500650841,508501974,516335956,524275917,532392782
Finland,FIN,1980489,1948522,1924044,1899880,1872544,1841101,1810359,1782653,1753154,1715054,1671905,1636243,1606899,1577275,1546998,1515623,1482252,1449014,1416158,1383190,1351318,1318646,1285267,1252696,1219718,1185942,1152471,1120036,1088226,1057858,1028850,1010620,1001945,992568,982659,972370,962241,952617,942729,932575,922245,914750,909949,905083,900709,896820,893317,890197,887391,884704,870472,845258,820704,809047,809669,809601,809183,808330,806259,803615,800844
Fiji,FJI,276691,284061,291701,299291,306406,312793,318330,323995,329368,334516,339624,344773,349927,355039,360036,364883,369464,375020,381053,387750,395361,404167,413866,423493,431691,437575,440707,437923,433140,428638,425408,423729,423187,423285,423281,422639,421358,422275,423094,423188,422472,420798,418292,415506,413193,411863,411749,412599,412990,412665,411241,408559,404885,400722,396694,393264,390533,388346,386545,384906,383257
France,FRA,17772187,17664650,17490550,17148695,16788614,16404575,15992443,15559225,15230854,15134429,15039170,14947298,14855993,14761956,14657476,14601385,14641036,14669243,14690235,14711745,14738052,14771060,14807308,14846300,14887231,14928514,14970477,15013292,15055081,15093422,15108674,15091320,15065323,15029666,14984271,14937873,14889276,14841298,14795594,14752727,14697577,14647860,14598404,14545384,14495492,14449119,14393064,14326191,14247470,14159840,14066100,13968981,13868666,13770626,13664265,13539246,13400202,13263152,13122453,12972990,12819027
Faroe Islands,FRO,27220,27308,27365,27404,27427,27429,27467,27629,27789,27947,28105,28244,28384,28534,28657,28770,28867,28942,29201,29513,29823,30126,30422,30723,31045,31382,31756,32161,32542,32808,32812,32442,31847,31193,30567,30080,29737,29601,29660,29779,29755,29527,29275,29073,28918,28743,28606,28532,28437,28339,28239,28169,28120,28088,28059,28046,28048,28071,28097,28123,28147
"Micronesia, Fed. Sts.",FSM,34579,35578,36573,37599,38721,39932,41301,42772,44201,45380,46179,46525,46501,46332,46379,46800,47642,48838,50323,51951,53648,55498,57458,59438,61382,63247,64976,66575,68114,69715,71440,73341,75344,77282,78935,80578,81804,82560,82979,83253,83421,83239,83128,83031,82815,82435,81850,81134,80446,80003,79968,80374,81176,82243,83378,84435,85388,86262,87067,87848,88643
Gabon,GAB,413772,413081,411104,409281,407746,406551,405726,405108,404334,402982,400736,395909,390078,383528,376521,369284,361818,354139,346143,337830,329160,320219,318010,315739,313384,310976,308475,305855,301779,297510,292985,288227,283237,278048,275721,273440,270957,268327,265534,262570,259442,256218,252921,249694,246687,244014,241594,239410,237515,236045,234965,234298,233862,233384,232631,231425,229722,227625,225279,222885,220525
United Kingdom,GBR,11295344,11418528,11588798,11749886,11901600,12053854,12196452,12339783,12477844,12608008,12737421,12839362,12790427,12723565,12639936,12547912,12454324,12359759,12271069,12192652,12118256,12062199,12085470,12117759,12164599,12220513,12277190,12331725,12387604,12448431,12514322,12569161,12568650,12564188,12560917,12559379,12556499,12554474,12556019,12563329,12572963,12562339,12439896,12323786,12220136,12131582,12048279,11970758,11893520,11813186,11736055,11658599,11569870,11477678,11392615,11313292,11228768,11135542,11033746,10926403,10819646
Georgia,GEO,2075477,2090349,2103850,2116256,2127156,2135939,2140828,2142021,2141408,2141260,2142101,2145027,2147142,2146323,2145057,2140769,2135940,2130131,2122022,2119585,2122292,2124502,2127121,2130315,2132914,2135888,2139042,2140742,2145850,2148180,2159075,2185875,2214567,2243390,2220726,2149958,2084148,2028799,1989403,1958910,1931011,1910922,1892142,1864034,1837288,1810550,1785270,1761043,1740846,1710767,1683754,1655877,1629406,1610308,1596856,1585179,1571628,1557150,1541599,1523815,1509450
Ghana,GHA,5092406,5218603,5349801,5481298,5606633,5722017,5824554,5916289,6003327,6094113,6205869,6355392,6516864,6682511,6841040,6985269,7111877,7225671,7337571,7462369,7610696,7786287,7985316,8201833,8409920,8578318,8742638,8904626,9065023,9226515,9389745,9554784,9719945,9882461,10038032,10184615,10321038,10449172,10570419,10688436,10809844,10945141,11079829,11215334,11353041,11494574,11639795,11787623,11934845,12077979,12213128,12339952,12459321,12572643,12681435,12786683,12888366,12986134,13079667,13168803,13252922
Gibraltar,GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,GIN,3128255,3163614,3199075,3234828,3271202,3308325,3346294,3384728,3422490,3458187,3490825,3520297,3547121,3571595,3593949,3614781,3634124,3652789,3672223,3694474,3720957,3751895,3786786,3840887,3923084,4014357,4115219,4224639,4339754,4456559,4571991,4684765,4795180,4904578,5014707,5126907,5241814,5359465,5477150,5590396,5696903,5795666,5888332,5978540,6071549,6171106,6278879,6394109,6514670,6637234,6759650,6881046,7003178,7129896,7266418,7414743,7575985,7748190,7927767,8109741,8290075
"Gambia, The",GMB,320772,326511,332267,337777,341849,346362,351357,356746,362394,368157,373864,379473,385007,391019,399371,408088,417281,426949,436834,446634,456183,465199,473911,483081,493417,506236,521765,539376,557648,574778,589487,601459,611143,619691,629482,639203,648888,658426,667881,677371,686948,696696,706583,716915,728987,740689,751941,762840,773508,784221,795069,806086,817158,828292,839409,850447,861416,872299,883080,893744,904267
Guinea-Bissau,GNB,532345,537144,541495,545821,550702,556556,563424,571145,579625,588740,598266,608500,619306,629640,638085,643810,646240,646040,645066,644804,642508,643910,648216,654257,660369,665425,669094,671669,673277,674209,674591,674425,680871,692466,703766,714601,724909,734837,744708,754954,765916,777715,790256,803511,817360,831746,846593,861974,877928,894566,911872,929858,948415,967363,986435,1005443,1024311,1043049,1061606,1079997,1098222
Equatorial Guinea,GNQ,190132,191129,193428,195985,199138,203072,208116,213932,219253,222336,222050,218027,210947,202059,193158,185691,179773,175338,173321,174758,180270,190439,204774,221444,235311,246692,255103,261125,265501,269365,273541,278111,282826,287797,293060,295607,298225,300991,303732,306299,308594,310576,312254,313760,315221,316750,318261,319636,320706,321344,321404,320848,319669,327832,335750,343374,350726,357830,364639,371173,377403
Greece,GRC,3671291,3657099,3604016,3542618,3480851,3422784,3373709,3326787,3274028,3212148,3146066,3095190,3070665,3040175,3006938,2990786,2992672,2986905,2980527,2972373,2956103,2943518,2942728,2940794,2936381,2928830,2919496,2910173,2901692,2897805,2909451,2927247,2937007,2941678,2943828,2944834,2945109,2946985,2950498,2949028,2948257,2942226,2910513,2875284,2840339,2807039,2774156,2740132,2706538,2673237,2636648,2593105,2539911,2483072,2428790,2375617,2329011,2288166,2247680,2209932,2170608
Grenada,GRD,62650,63453,64083,64550,64864,65038,65064,64935,64696,64374,64043,63799,63579,63295,62912,62377,61622,60716,59904,59505,59730,60729,62372,64259,65850,66792,66895,66339,65424,64579,64128,64144,64375,64849,65342,65717,65941,66060,66107,66118,66126,66159,66417,66659,66885,67091,67277,67440,67622,67840,68129,68494,68910,69343,69764,70149,70489,70778,71024,71238,71408
Greenland,GRL,13476,13545,13508,13474,13335,13308,13166,13051,12939,12805,12647,12540,12715,12782,12795,12703,12611,12367,12125,12033,11987,11987,11912,11860,11804,11725,11600,11541,11499,11414,11288,11082,10894,10762,10710,10657,10565,10513,10462,10392,10341,10228,10136,10026,9914,9760,9554,9342,9132,8963,8887,8673,8408,8161,7987,7816,7683,7542,7386,7280,7169
Guatemala,GTM,2843931,2901164,2958885,3016780,3077682,3152015,3226487,3300619,3373861,3445722,3516147,3585090,3653075,3720477,3787858,3854961,3922313,3991116,4063075,4139744,4222128,4310100,4403350,4500312,4600307,4703063,4808325,4915976,5025695,5137329,5249791,5362123,5473038,5581926,5689267,5796192,5901847,6006636,6113086,6221658,6335891,6450059,6559052,6664800,6770217,6873860,6975317,7074356,7170952,7265539,7357571,7449392,7538790,7625644,7709179,7788224,7863355,7934315,8001178,8063081,8119648
Guam,GUM,33268,33195,33192,33224,33255,33263,33236,33184,33097,32993,31940,28159,24523,21138,18045,15280,12844,10739,8931,7396,6505,6931,7385,7868,8384,8931,9511,10126,10779,11475,12009,11938,11865,11785,11687,11565,11420,11253,11066,10860,10672,10583,10477,10355,10222,10089,9952,9814,9676,9541,9408,9281,9156,9041,8937,8847,8771,8709,8653,8601,8544
Guyana,GUY,405936,418096,429923,441229,451785,461462,470153,477908,484905,491410,497504,502912,507956,512761,517540,522339,527298,532279,536818,540236,542300,544118,544491,543592,541691,539053,535549,531329,527228,524345,523414,524908,528479,533065,537101,539479,539804,538473,536155,533904,532455,532032,532390,534215,536453,538560,540481,542368,544391,546814,549827,553493,555966,558831,561734,564516,567091,569491,571744,573860,575871
High income,HIC,277016875,276783450,276523633,276000333,275347224,274481144,273392258,271862249,270373084,269120482,267907885,267621293,267168361,266644548,266033225,265408945,265070150,264723414,264319428,263992111,263542599,262812264,262337214,261894588,261439766,261002474,260283638,259276374,258387864,257877907,257309330,256738624,256260240,255727946,254991139,254171307,253400990,252682422,251903625,251092198,250275754,248239710,245647487,243241423,240992585,238873881,237149308,235658458,234328795,232863981,231265290,229968754,229301202,228681647,228085541,227368544,226600336,225621780,224513736,223136015,221945478
"Hong Kong SAR, China",HKG,455190,465932,476544,483476,485492,488523,483067,485528,485985,483915,485809,483858,475286,471072,468381,459768,448321,437973,429363,436525,431477,425350,416422,407510,396584,386299,317775,175228,95163,51517,27553,9663,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,HND,1574907,1607567,1640448,1673817,1707890,1742988,1779108,1816204,1854066,1892575,1931485,1970747,2010381,2050673,2093411,2140743,2189549,2239687,2290923,2342975,2395660,2448900,2502654,2556792,2611124,2665669,2720299,2774977,2830488,2890310,2950387,3010567,3070863,3131836,3193931,3257504,3322677,3388980,3455622,3521498,3585869,3648463,3699536,3747377,3792452,3835036,3874786,3911678,3945305,3975543,4001949,4024672,4043671,4059815,4073535,4085771,4096486,4105676,4113431,4119683,4124378
Heavily indebted poor countries (HIPC),HPC,141739109,144530537,147410897,150375325,153413391,156544773,159805243,163155455,166590158,170098844,173738794,177459234,181268232,185154585,189130896,193145993,197194408,201314159,205468649,209865018,214295218,218752019,223251371,227763692,232327904,236979192,241853805,246954500,252307454,258063344,264077175,270537800,277352317,284465064,291868579,299247803,306532318,313693770,320946633,328408622,336188029,344166302,352407065,360826723,369405359,377964930,386530430,395544591,404012564,412661504,421530933,430630844,440072495,449718134,459496444,469358176,479293975,489286805,499284502,509234664,519096920
Croatia,HRV,2891751,2873765,2853722,2832090,2808089,2783585,2758978,2732069,2703371,2673100,2638703,2607008,2588493,2569851,2551324,2532902,2515402,2497414,2477863,2453749,2424775,2403196,2398819,2394948,2389894,2384230,2377862,2370489,2361531,2350879,2339143,2280881,2215245,2216595,2230739,2204725,2164211,2143249,2131554,2111986,2080978,1993228,1987174,1980467,1973788,1969090,1962310,1954640,1947168,1937891,1926284,1912496,1898807,1885015,1868155,1843070,1819891,1787283,1759939,1738221,1718119
Haiti,HTI,3263311,3312229,3361434,3410889,3460415,3510049,3559843,3609776,3658990,3706629,3752119,3795179,3854243,3917685,3984102,4055074,4130934,4211398,4296952,4387831,4484010,4585901,4693013,4758992,4813457,4863161,4907168,4945723,4978850,5007425,5031405,5050799,5065088,5118775,5170565,5220574,5268724,5316980,5363489,5408061,5450688,5401942,5345720,5282659,5276349,5274602,5270084,5262885,5252461,5239211,5222497,5202473,5179073,5152493,5122176,5088189,5051862,5013890,4974510,4934130,4893055
Hungary,HUN,4401831,4379303,4350895,4319558,4290506,4259900,4230146,4203213,4176578,4151312,4123586,4091134,4059050,4028025,4001823,3981051,3958606,3932744,3902097,3864948,3835546,3816417,3794791,3769746,3742901,3716933,3691570,3666384,3641801,3583700,3543962,3556728,3568401,3577385,3585524,3593550,3600375,3606198,3610855,3613643,3617236,3599271,3547284,3495810,3446941,3392784,3334127,3276073,3217942,3161144,3108907,3055537,3008052,2972574,2937544,2903693,2867756,2832442,2800601,2770705,2735697
IBRD only,IBD,1420464535,1424700164,1438991200,1462534929,1485525901,1514481658,1545806278,1576329669,1607662618,1640530523,1674334896,1708612838,1740989223,1771799547,1800500872,1827293693,1853169145,1877787490,1899281872,1917959666,1936294278,1954682483,1974920028,1996414411,2016566725,2036708435,2057456290,2078852411,2099798656,2119950575,2139154578,2156234962,2171435995,2185300154,2197999630,2209567066,2220241345,2230014622,2238497294,2245447130,2250534454,2252470693,2251143045,2248698916,2245229880,2240930373,2236320402,2231099757,2225316344,2219070245,2212048856,2206216079,2201134283,2195506033,2188864429,2181198421,2172691571,2163601740,2153165906,2141610411,2128861172
IDA & IBRD total,IBT,1747464027,1758462622,1779773363,1810551186,1841015635,1877707520,1917092343,1955865658,1995605537,2036907305,2079142369,2121626474,2162182488,2201237850,2238419953,2275969772,2311027512,2345166637,2376436002,2405346276,2433982129,2463003890,2494813414,2528036298,2560014416,2592131043,2625112276,2658978307,2692621377,2725787031,2758143062,2788989387,2818311863,2846526356,2873896220,2900190534,2925616228,2950098438,2973375877,2995218097,3015328429,3031710696,3044723203,3056677917,3067692457,3077849723,3087737957,3097463835,3106002330,3114059219,3121445945,3130338940,3140018855,3149221570,3157507995,3164598087,3170995843,3176908848,3181519467,3185026020,3187277172
IDA total,IDA,326999492,333762458,340782163,348016257,355489734,363225862,371286065,379535989,387942919,396376782,404807473,413013636,421193265,429438303,437919081,448676079,457858367,467379147,477154130,487386610,497687851,508321407,519893386,531621887,543447691,555422608,567655986,580125896,592822721,605836456,618988484,632754425,646875868,661226202,675896590,690623468,705374883,720083816,734878583,749770967,764793975,779240003,793580158,807979001,822462577,836919350,851417555,866364078,880685986,894988974,909397089,924122861,938884572,953715537,968643566,983399666,998304272,1013307108,1028353561,1043415609,1058416000
IDA blend,IDB,98104585,100057638,102168516,104352844,106614928,108952062,111364505,113849455,116409033,119040693,121724277,124335900,127040127,129813288,132713184,135781233,139034011,142497629,146094486,149820367,153731233,157565525,161511205,165501935,169543181,173643566,177795090,181985444,186207245,190359176,194429952,198697759,202954831,207232791,211514137,215840557,220257547,224743767,229253504,233732322,238202925,242233292,246192374,250184863,254222593,258344389,262561946,266877914,271270420,275703390,280291932,284956588,289547697,294163829,298799685,303439536,308074091,312686018,317240841,321740385,326155615
Indonesia,IDN,74951696,76744913,78586956,80478905,82427269,84435902,86501175,88616898,90777936,92973069,95196835,97442086,99501647,101495989,103475744,105437133,107370483,109276079,111153041,113013165,114855965,116501667,118004463,119431290,120748398,121940180,122992365,123909294,124694863,125368353,125929924,126236861,126343244,126328216,126176272,125888254,125468008,124928920,124272057,123516870,122673786,122688936,122659348,122589003,122474421,122327561,122139493,121915144,121655449,121376731,121125090,121099554,121055613,120979863,120841413,120631391,120344709,119995396,119581818,119115843,118597107
IDA only,IDX,228894907,233704820,238613647,243663413,248874806,254273800,259921560,265686534,271533886,277336089,283083196,288677736,294153138,299625015,305205897,312894846,318824356,324881518,331059644,337566243,343956618,350755882,358382181,366119952,373904510,381779042,389860896,398140452,406615476,415477280,424558532,434056666,443921037,453993411,464382453,474782911,485117336,495340049,505625079,516038645,526591050,537006711,547387784,557794138,568239984,578574961,588855609,599486164,609415566,619285584,629105157,639166273,649336875,659551708,669843881,679960130,690230181,700621090,711112720,721675224,732260385
Isle of Man,IMN,21740,21562,21506,21557,21702,21911,22223,22769,23350,23931,24483,25045,25856,26653,27462,28312,29101,29567,30015,30386,30639,30754,30750,30719,30777,31004,31452,32070,32772,33419,33919,34226,34381,34455,34560,34780,35136,35596,36113,36619,37068,37429,37709,37965,38257,38617,39079,39604,40122,40522,40736,40737,40537,40232,39939,39747,39696,39750,39861,39981,40052
India,IND,369791510,376759491,383620708,390697750,397946828,405363011,412918738,420634582,428580865,436846176,445484293,454345525,463004514,471932260,481008842,490182589,499411011,508709211,518120031,527709526,537508711,547863292,559086824,570472817,581926871,593384036,604809635,616212409,627574098,638892235,650181520,661520796,673032682,684507519,695972401,707451704,718924359,730376768,741776257,753080049,764252791,774881568,784520681,793938753,803128396,812106163,820863650,829358847,837515186,845260299,852517999,859247883,865363321,870934216,876033415,880723742,885015936,888881381,892338114,895386227,898024053
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,1550525,1542320,1542726,1545765,1547278,1547038,1541550,1515224,1488213,1462952,1440890,1428135,1439133,1451878,1465401,1478867,1490313,1499473,1509580,1518390,1524395,1531958,1540933,1546244,1550204,1547026,1542349,1538049,1527078,1516615,1513504,1517141,1519699,1519482,1517620,1517554,1521461,1527757,1534680,1542842,1554223,1569733,1586580,1601606,1619883,1644123,1677897,1718227,1744592,1753285,1753744,1752249,1750490,1750530,1754105,1761447,1771980,1781281,1792632,1805722,1812143
"Iran, Islamic Rep.",IRN,14516613,14749596,14984584,15222136,15461983,15704596,15950664,16170431,16371739,16569831,16762735,16951108,17138708,17331928,17535966,17756883,17991678,18282037,18624104,19009190,19443778,19925488,20442652,20982337,21528184,22066161,22594205,23182080,23748382,24234616,24615125,24879847,24891726,24774013,24611905,24432059,24240822,24084608,23933143,23770257,23596861,23417996,23234787,23044631,22844248,22632300,22408896,22211325,22027076,21844634,21667002,21494868,21336239,21189328,21047449,20911894,20782114,20657356,20533487,20404280,20264140
Iraq,IRQ,4162522,4153902,4145766,4139153,4134768,4133371,4163977,4210198,4258064,4304982,4348637,4388069,4423345,4455588,4485119,4512701,4538063,4560615,4606952,4660311,4707538,4749298,4785950,4816865,4840875,4858545,4869024,4874358,4971735,5117347,5276946,5452349,5642832,5847265,6063841,6290625,6527340,6773835,6990782,7195874,7402680,7613472,7827626,8037500,8233074,8408905,8558600,8687932,8820301,8987473,9189379,9442501,9748139,10081404,10406862,10699783,10948776,11161440,11348290,11526416,11707564
Iceland,ISL,34588,34368,34110,33824,33533,33227,32905,32553,32123,31557,30870,30360,30053,29760,29419,29059,28616,28111,27620,27190,26783,26461,26192,25921,25582,25179,24765,24446,24240,23960,23571,23377,23203,22978,22718,22387,22059,21799,21592,21450,21369,21281,21098,20877,20696,20662,20782,20943,20965,20667,20437,20458,20526,20614,20733,20841,21015,21384,21823,22157,22362
Israel,ISR,489438,481028,487171,487647,489258,488508,482947,485865,477855,472346,470041,466826,461151,465705,465216,461484,457418,453431,448778,446180,442751,437534,431841,426592,427587,430581,432651,434978,437537,440279,449271,471986,483355,491062,498490,506480,515524,524715,532971,542736,553243,562318,569619,575782,581761,587811,593922,600185,606484,616589,623153,629651,636004,642262,648712,655408,661802,667787,673494,678959,683115
